Sales+Ops Demand Supply — Append1 (auto-computed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item Group,Item Code,Product Class,Original Forecast,Ops+Sales-Reviewed Forecast Committed,Ops Adjustment (vs Forecast),Actual Sales Demand,"Additional Demand (Punched, Not Committed)",Forecast Accuracy %,Opening Inventory,Actual Production,Stock Adjustment (Added),Stock Adjustment (Deducted),Total Available Inventory,Type (MTS/MTO),Actual Dispatch,Dispatch %,Closing Inventory,Green Level,Free Inventory (Above Green Level),Uncovered Shortfall,Dispatch Gap (Shippable from Stock),Shortfall on Additional Demand (Excluded from Ops),Demand Reduction Adjustment (Sales Pullback),Production-Driven Shortfall,Production Surplus,Excess Opening Stock (Above Demand+Safety),Excess Dispatched,Sales Insight Tag,Sales Narrative,Operations Insight Tag,Operations Narrative,Ops Capacity Gap Narrative,Surplus Production (₹),Excess Opening Stock Value (₹),Build Required,Production Counted,Production-Driven Shortfall (₹),Dispatch Gap (Shippable from Stock) (₹),Shortfall on Additional Demand (₹),Demand Reduction Adjustment (₹),Excess Dispatch Value (₹),Excess Dispatched from Op Stock,Excess Dispatch from Surplus Production,Excess Dispatch from Op Stock Value (₹),Excess Dispatch from Surplus Production Value (₹)
,FD M09 B15 J0X SRB,Regular,,,,,,,53.0,,,,53.0,TBC,,,53.0,,53.0,,,,,,,53.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Healthy Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,53.0,,,,,,,,,,,
9mm 2 Way Serrated,FD M09 B15 J4 SBS,Regular,,,,,,,,64850.0,94862.0,94862.0,64850.0,TBC,,,64850.0,,64850.0,,,,,,64850.0,,,Forecast Bullseye,Dispatch 0 units (no committed demand). Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Healthy Stock,"Produced 64,850 units against committed 0 units.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,,,,,
9mm 2 Way Serrated,FD M18 B15 16-29 WH,Regular,,,,,,,,,16000.0,8000.0,8000.0,TBC,8000.0,,0.0,,,,,,,,,,8000.0,Forecast Bullseye,"Dispatch 8,000 units (no committed demand). Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 8,000 units.",Healthy Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,,,,,,,155120.0,,8000.0,,155120.0
FS SS304-2,FS M01 B11 65A MH,Regular,,,,,,,5200.0,,,,5200.0,MTO,,,5200.0,,5200.0,,,,,,,5200.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Unsold MTO Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,104774.85,,,,,,,,,,,
12mm 1Way Serrated,FS M09 B11 J00 AL,Regular,,,,,,,200.0,200.0,,,400.0,TBC,,,400.0,,400.0,,,,,,200.0,200.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Healthy Stock,Produced 200 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,3710.0,3710.0,,,,,,,,,,,
FS SS430-1,FS M09 B11 J0X SDF,Regular,2700.0,2700.0,,2700.0,,100%,100.0,,,,100.0,MTS,,0.0%,100.0,3300.0,,2700.0,100.0,,,2600.0,,,,Short Delivery | Forecast Bullseye,"Dispatch 0% of committed (0 vs 2,700). MTS item — buffer stock + green level matters. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 2,700 units.",Production Shortfall | Stock-Out Risk,"Produced 0 units against committed 2,700 units. Shortfall of 2,600 units — expedite production or procure. Closing 100 units. Green level 3,300 (0.0x cover) — ⚠ Safety breach — replenish urgently.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,5900.0,,,,,,,,,,
FS SS430-3,FS M09 B11 J110A SDF,Regular,,,,,,,50.0,,,,50.0,MTO,,,50.0,,50.0,,,,,,,50.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Unsold MTO Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,531.73,,,,,,,,,,,
FS SS430-2,FS M09 B11 J1X CAT,Regular,200.0,200.0,,200.0,,100%,37.0,,,,37.0,MTO,,0.0%,37.0,,37.0,200.0,37.0,,,163.0,,,,Short Delivery | Forecast Bullseye,Dispatch 0% of committed (0 vs 200). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 200 units.,Production Shortfall,Produced 0 units against committed 200 units. Shortfall of 163 units — expedite production or procure.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,163.0,,,,,,,,,,
FS SS430-2,FS M09 B11 J2A SDF,Regular,2500.0,2500.0,,2500.0,,100%,3850.0,,,,3850.0,MTS,,0.0%,3850.0,4200.0,,2500.0,2500.0,,,,,,,Short Delivery | Forecast Bullseye,"Dispatch 0% of committed (0 vs 2,500). MTS item — buffer stock + green level matters. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 2,500 units.",Below Safety,"Produced 0 units against committed 2,500 units. Closing 3,850 units. Green level 4,200 (0.9x cover) — ⚠ Safety breach — replenish urgently.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,2850.0,,,,,,,,,,
12mm 1Way Serrated,FS M09 B11 J2A WH,Regular,1000.0,1000.0,,1000.0,,100%,,,,,,MTO,3.0,0.3%,-3.0,,,997.0,,,,997.0,,,,Short Delivery | Forecast Bullseye,"Dispatch 0% of committed (3 vs 1,000). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 997 units.",Production Shortfall,"Produced 0 units against committed 1,000 units. Shortfall of 1,000 units — expedite production or procure.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,1000.0,,20857.24,,,,,,,,
12mm 1Way Serrated,FS M09 B11 J2X CAT,Regular,1400.0,1400.0,,1400.0,,100%,2444.0,2350.0,,,4794.0,MTO,3200.0,228.6%,1594.0,,1594.0,,,,,,2350.0,1044.0,1800.0,Over-Delivered | Forecast Bullseye,"Dispatch 229% of committed (3,200 vs 1,400). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 1,800 units.",Over-Production,"Produced 2,350 units against committed 1,400 units. Red flag — produced 2,350 units more than ordered. Investigate planning breakdown.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,18114.46,8047.44,,,,,,,37656.0,1044.0,756.0,21840.48,15815.52
FS SS430-2,FS M09 B11 J2X SDF,Regular,2400.0,2400.0,,2400.0,,100%,3450.0,,,,3450.0,MTS,,0.0%,3450.0,4400.0,,2400.0,2400.0,,,,,,,Short Delivery | Forecast Bullseye,"Dispatch 0% of committed (0 vs 2,400). MTS item — buffer stock + green level matters. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 2,400 units.",Below Safety,"Produced 0 units against committed 2,400 units. Closing 3,450 units. Green level 4,400 (0.8x cover) — ⚠ Safety breach — replenish urgently.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,3350.0,,,,,,,,,,
12mm 1Way Serrated,FS M09 B11 J3 MH,Regular,3800.0,3800.0,,3800.0,,100%,18004.0,,,,18004.0,MTO,12000.0,315.8%,6004.0,,6004.0,,,,,,,14204.0,8200.0,Over-Delivered | Forecast Bullseye,"Dispatch 316% of committed (12,000 vs 3,800). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 8,200 units.",Unsold MTO Stock,"Produced 0 units against committed 3,800 units.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,105601.48,,,,,,,171544.0,8200.0,,171544.0,
FS SS430-1,FS M09 B11 J32A SDF,Regular,5700.0,5700.0,,5700.0,,100%,9350.0,,,,9350.0,MTS,,0.0%,9350.0,7700.0,1650.0,5700.0,5700.0,,,,,,,Short Delivery | Forecast Bullseye,"Dispatch 0% of committed (0 vs 5,700). MTS item — buffer stock + green level matters. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 5,700 units.",Healthy Stock,"Produced 0 units against committed 5,700 units. Production and inventory in healthy state.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,4050.0,,,,,,,,,,
